"NBa7we src","d4r55","eaLgGf","hCCjke","rsqaWe","wiI7pd"
"https://lh3.googleusercontent.com/a-/ALV-UjUKtmvM81B2PscX2oFgvDDRbVwX-xsv0MPd-CR7yDIlPRFrIohI-g=w72-h72-p-rp-mo-br100","Rosa","","","a year ago","Amazing drinks, really sweet staff, very clean atmosphere, and everything is brand new! Lovely place and would highly recommend!"
"https://lh3.googleusercontent.com/a-/ALV-UjXCFza8CClHEEoiZ5m0gmPV4sL5GzlC9ICs2q4ITI2y0GO8vO3cQQ=w72-h72-p-rp-mo-br100","Alec Fung","","","a year ago","Best gongcha best service looks amazing looks authentic I love it!! They are quick and just so nice thanks will come again"
"https://lh3.googleusercontent.com/a/ACg8ocJJnSZ7giY5MbzKorDGhXMCq2pdtZdMKGs6xLSQFTweOcgZeQ=w72-h72-p-rp-mo-br100","Jennifer Tan","","","a year ago","My favorite gongcha in the Boston area!! Staff are super friendly and the drinks are consistently amazing"
"https://lh3.googleusercontent.com/a/ACg8ocL0nrvhBqLRd6KqCRbg-Jz8EyInMaccHd_Fxib1gt1UlMm3MA=w72-h72-p-rp-mo-br100","Lang Phi Pham","","","a year ago","Service was delightful. Staff were friendly and offered suggestions and tips on what to order. Will be coming back more often."
"https://lh3.googleusercontent.com/a/ACg8ocKJJOdBEmBlaHrrthpqwu25HzqJDXqEq2BPzEtzWU-RDAqtNQ=w72-h72-p-rp-mo-ba2-br100","Kelvin Loke","","","a year ago","Fire drinks fire staff, line was long but they got my order right and out within 5 minutes"
"https://lh3.googleusercontent.com/a-/ALV-UjW_8zGSVPXu8JSvujOC_Joai1rWlXc8GVUtzNSLDiy1PpOWUW9_=w72-h72-p-rp-mo-ba4-br100","Michael Benion","","","11 months ago","Love the mango bubble tea..."
"https://lh3.googleusercontent.com/a-/ALV-UjVLSHNApdF2beZbU8TIOZ2KUveAc-2kwH4Yn3yVTlBtcGl0T3VA=w72-h72-p-rp-mo-br100","TyphoonTenn","","","a year ago","Great service, great tea."
"https://lh3.googleusercontent.com/a/ACg8ocJh2Z5X2KFvvV09YzKLG51_Fovums09NNSKh0hOtGEa6jeXQ24=w72-h72-p-rp-mo-br100","Bikrom Barua","","","a year ago","Best..."
"https://lh3.googleusercontent.com/a/ACg8ocISXnMEgT78NHovWolFN1hTn33owRqwNT8-LWwO8M2fnblL6g=w72-h72-p-rp-mo-br100","Anil N","","","a year ago","Decent"
"https://lh3.googleusercontent.com/a-/ALV-UjXu9t3HM9_101mZJB3SlwIL2EQeJZi4eqI_8QK-2YM_MwKUej6U=w72-h72-p-rp-mo-br100","Yuhan Kang","","","7 months ago","Bad attitude"
"https://lh3.googleusercontent.com/a-/ALV-UjVYyLI9tiHdWFvM1-fekZ4rHKkcvLwMAij4u6PbQc6vkfgalfk=w72-h72-p-rp-mo-br100","장진오","","","a year ago","Thank you for the tea!!!!"
"https://lh3.googleusercontent.com/a/ACg8ocIBAMpLYA8D_UgHMTH5uc2BEfcav8AqUCm-Y3xocJIuPg_kfA=w72-h72-p-rp-mo-br100","Oyin Olagbegi","","","a year ago","Delicious!"
"https://lh3.googleusercontent.com/a/ACg8ocK4YqJ8gVVKg6K2orHiGbO9d_Y9-k3aDds8OkNuHJQSazDPiQ=w72-h72-p-rp-mo-br100","Eric Puffs","","","a year ago","The powdered milk tea can’t be more than three points. No wonder it expanded so quickly"
"https://lh3.googleusercontent.com/a-/ALV-UjVxfKoOQSs8kkphlRaONtI_lqQCNE4Y3aYdwpeze_iUuZ-UtE536Q=w72-h72-p-rp-mo-br100","Isabella Trudeau","","","a year ago",""
"https://lh3.googleusercontent.com/a-/ALV-UjXNt-TXDstPMB3FiLto_SMJRIA-aawja0swC8lc2p4N6I-gKDGR=w72-h72-p-rp-mo-br100","Sylvia Dodpal","","","a year ago",""
